tk,pt
75,1.00E-06
75,3.00E-06
75,1.00E-05
75,3.00E-05
75,1.00E-04
75,3.00E-04
75,1.00E-03
75,3.00E-03
75,1.00E-02
75,3.00E-02
75,1.00E-01
75,3.00E-01
75,1.00E+00
75,3.00E+00
75,1.00E+01
75,3.00E+01
75,1.00E+02
75,3.00E+02
75,1.00E+03
75,3.00E+03
100,1.00E-06
100,3.00E-06
100,1.00E-05
100,3.00E-05
100,1.00E-04
100,3.00E-04
100,1.00E-03
100,3.00E-03
100,1.00E-02
100,3.00E-02
100,1.00E-01
100,3.00E-01
100,1.00E+00
100,3.00E+00
100,1.00E+01
100,3.00E+01
100,1.00E+02
100,3.00E+02
100,1.00E+03
100,3.00E+03
110,1.00E-06
110,3.00E-06
110,1.00E-05
110,3.00E-05
110,1.00E-04
110,3.00E-04
110,1.00E-03
110,3.00E-03
110,1.00E-02
110,3.00E-02
110,1.00E-01
110,3.00E-01
110,1.00E+00
110,3.00E+00
110,1.00E+01
110,3.00E+01
110,1.00E+02
110,3.00E+02
110,1.00E+03
110,3.00E+03
120,1.00E-06
120,3.00E-06
120,1.00E-05
120,3.00E-05
120,1.00E-04
120,3.00E-04
120,1.00E-03
120,3.00E-03
120,1.00E-02
120,3.00E-02
120,1.00E-01
120,3.00E-01
120,1.00E+00
120,3.00E+00
120,1.00E+01
120,3.00E+01
120,1.00E+02
120,3.00E+02
120,1.00E+03
120,3.00E+03
130,1.00E-06
130,3.00E-06
130,1.00E-05
130,3.00E-05
130,1.00E-04
130,3.00E-04
130,1.00E-03
130,3.00E-03
130,1.00E-02
130,3.00E-02
130,1.00E-01
130,3.00E-01
130,1.00E+00
130,3.00E+00
130,1.00E+01
130,3.00E+01
130,1.00E+02
130,3.00E+02
130,1.00E+03
130,3.00E+03
140,1.00E-06
140,3.00E-06
140,1.00E-05
140,3.00E-05
140,1.00E-04
140,3.00E-04
140,1.00E-03
140,3.00E-03
140,1.00E-02
140,3.00E-02
140,1.00E-01
140,3.00E-01
140,1.00E+00
140,3.00E+00
140,1.00E+01
140,3.00E+01
140,1.00E+02
140,3.00E+02
140,1.00E+03
140,3.00E+03
150,1.00E-06
150,3.00E-06
150,1.00E-05
150,3.00E-05
150,1.00E-04
150,3.00E-04
150,1.00E-03
150,3.00E-03
150,1.00E-02
150,3.00E-02
150,1.00E-01
150,3.00E-01
150,1.00E+00
150,3.00E+00
150,1.00E+01
150,3.00E+01
150,1.00E+02
150,3.00E+02
150,1.00E+03
150,3.00E+03
160,1.00E-06
160,3.00E-06
160,1.00E-05
160,3.00E-05
160,1.00E-04
160,3.00E-04
160,1.00E-03
160,3.00E-03
160,1.00E-02
160,3.00E-02
160,1.00E-01
160,3.00E-01
160,1.00E+00
160,3.00E+00
160,1.00E+01
160,3.00E+01
160,1.00E+02
160,3.00E+02
160,1.00E+03
160,3.00E+03
170,1.00E-06
170,3.00E-06
